"('ESPECIALLY', ['MIGHTY', 'PRETTY', 'REALLY', 'VERY'])","('DISNEY CHARACTERS', ['DAISY', 'GOOFY', 'HAPPY', 'LADY'])","('KINDS OF BLUE', ['BABY', 'NAVY', 'SKY', 'TIFFANY'])","('BODY PARTS PLUS ""Y""', ['ARMY', 'COLONY', 'LIVERY', 'SHINY'])"
"('EXITED', ['DEPARTED', 'LEFT', 'SPLIT', 'WENT'])","('ONE FLYING AN AIRPLANE', ['ACE', 'AVIATOR', 'FLIER', 'PILOT'])","('KINDS OF WHALES', ['BLUE', 'FIN', 'GRAY', 'RIGHT'])","('THINGS WITH SLOTS', ['ATM', 'CASINO', 'SCHEDULE', 'SPATULA'])"
"('UPDATE FOR ACCURACY', ['AMEND', 'CORRECT', 'FIX', 'REVISE'])","('QUARREL', ['FIGHT', 'ROW', 'SCRAP', 'TIFF'])","('GAMES OF CHANCE', ['BINGO', 'LOTTERY', 'ROULETTE', 'WAR'])","('___ CHIP', ['BLUE', 'COMPUTER', 'POKER', 'POTATO'])"
"('MUSICAL INSTRUMENTS', ['BASS', 'BASSOON', 'HARP', 'RECORDER'])","('PLANT GROWTHS', ['BLOOM', 'BUD', 'SHOOT', 'SPROUT'])","('BRING UP', ['FOSTER', 'NURSE', 'RAISE', 'REAR'])","('SOLAR EMANATIONS', ['CORONA', 'FLARE', 'LIGHT', 'RADIATION'])"
"('HOW FAST SOMETHING IS GOING', ['CLIP', 'PACE', 'RATE', 'SPEED'])","('""STEP ON IT!""', ['FASTER', 'GO', 'HURRY', 'MOVE'])","('N.B.A. TEAM PLAYER', ['CLIPPER', 'PACER', 'ROCKET', 'SPUR'])","('TELE___', ['COMMUTE', 'MEDICINE', 'PROMPTER', 'VISION'])"
"('YELLOW-BROWN SHADES', ['BEIGE', 'CAMEL', 'KHAKI', 'TAN'])","('FAIL TO ATTEND', ['CUT', 'DITCH', 'MISS', 'SKIPS'])","('DECISIVE VICTORY', ['BLOWOUT', 'ROMP', 'ROUT', 'SWEEP'])","('___ WHEEL', ['CHEESE', 'COLOR', 'HAMSTER', 'PRAYER'])"
"('KUDOS', ['CREDIT', 'GLORY', 'PRAISE', 'PROPS'])","('BECOME AWARE OF', ['DISCOVER', 'FIND', 'LEARN', 'REALIZE'])","('PURSUE', ['CHASE', 'TAIL', 'TRACK', 'SHADOW'])","('SEEN IN A PASSPORT', ['NAME', 'PHOTO', 'STAMP', 'VISA'])"
"('JUMPING ANIMALS', ['CRICKET', 'FROG', 'HARE', 'KANGAROO'])","('APPLY PRESSURE TO', ['CRUSH', 'MASH', 'PRESS', 'SQUASH'])","('OLYMPIC SPORTS', ['BREAKING', 'HOCKEY', 'SKELETON', 'TRAMPOLINE'])","('THINGS YOU CAN SET', ['MOOD', 'RECORD', 'TABLE', 'VOLLEYBALL'])"
"('CHAT, INFORMALLY', ['GAB', 'JAW', 'YAK', 'YAP'])","('FEMALE ANIMALS', ['COW', 'DOE', 'EWE', 'HEN'])","('PALINDROMES', ['BIB', 'EYE', 'GAG', 'POP'])","('STARTS OF PLANET NAMES', ['EAR', 'MAR', 'MER', 'SAT'])"
"('SEEN AT A SPORTS STADIUM', ['ASTROTURF', 'JUMBOTRON', 'SCOREBOARD', 'SKYBOX'])","('CAMERA BRANDS', ['FUJIFILM', 'HASSELBLAD', 'OLYMPUS', 'POLAROID'])","('ITALIAN DEMONYMS', ['BOLOGNESE', 'NEAPOLITAN', 'PARMESAN', 'VENETIAN'])","('STARTING WITH ROCK BANDS', ['CREAMSICLE', 'JOURNEYMAN', 'KISSCAM', 'RUSHMORE'])"
"('MOVIE SUMMARY INFO', ['CAST', 'GENRE', 'PLOT', 'TITLE'])","('PRETENSE', ['AFFECT', 'AIRS', 'CHARADE', 'FRONT'])","('FAMOUS GUITARISTS', ['BERRY', 'KING', 'PAGE', 'WATERS'])","('SECOND ___', ['FIDDLE', 'GUESS', 'NATURE', 'WIND'])"
"('SEGMENT OF A PROCESS', ['CYCLE', 'PHASE', 'ROUND', 'STAGE'])","('CONSTELLATIONS', ['CYGNUS', 'GEMINI', 'ORION', 'PEGASUS'])","('SPIRALS IN NATURE', ['CYCLONE', 'GALAXY', 'SNAIL', 'SUNFLOWER'])","('ASSOCIATED WITH \xe2\x80\x9cONE\xe2\x80\x9d', ['CYCLOPS', 'MONOLOGUE', 'SOLITAIRE', 'UNICYCLE'])"
"('FOOLISHNESS', ['ABSURDITY', 'FOLLY', 'MADNESS', 'NONSENSE'])","('MOVE FORWARD', ['ADVANCE', 'MARCH', 'PROGRESS', 'PUSH'])","('THINGS THAT MIGHT STINK', ['CHEESE', 'FEET', 'GARBAGE', 'SKUNK'])","('WORDS AFTER \xe2\x80\x9cDEEP\xe2\x80\x9d', ['CUT', 'FAKE', 'FREEZE', 'SIX'])"
"('GET SMALLER', ['CONTRACT', 'LESSEN', 'REDUCE', 'SHRINK'])","('AIRLINE CLASSES', ['BUSINESS', 'COACH', 'FIRST', 'PREMIUM'])","('EXAMINE, AS AN APPLICANT', ['CHECK', 'REVIEW', 'SCREEN', 'VET'])","('NOTABLE TV EPISODES', ['FINALE', 'PILOT', 'PREMIERE', 'SPECIAL'])"
"('CRITICIZE', ['BLAST', 'KNOCK', 'SLAM', 'TRASH'])","('\x80\x9cMY MISTAKE!\xe2\x80\x9d', ['APOLOGIES', 'OOPS', 'PARDON', 'SORRY'])","('ALIBI', ['DEFENSE', 'EXCUSE', 'OUT', 'REASON'])","('PLAY ___', ['DATE', 'DEAD', 'DIRTY', 'DOH'])"
"('BOX OFFICE VICTORY', ['HIT', 'SMASH', 'SUCCESS', 'WINNER'])","('VOLLEYBALL MOVES', ['BUMP', 'SERVE', 'SET', 'SPIKE'])","('HOMOPHONES OF GREEK LETTERS', ['MOO', 'NEW', 'PIE', 'ROW'])","('___-O', ['DADDY', 'DAY', 'JACKIE', 'JELL'])"
"('HALLOWEEN PURCHASES', ['CANDY', 'COSTUME', 'DECORATIONS', 'PUMPKIN'])","('PLANTS WITH SIMILAR FLAVORS', ['ANISE', 'FENNEL', 'LICORICE', 'TARRAGON'])","('FOOD SLANG FOR HEAD', ['BEAN', 'MELON', 'NOODLE', 'NUT'])","('GEMSTONE CUTS', ['BAGUETTE', 'EMERALD', 'PRINCESS', 'RADIANT'])"
"('SECTION', ['CLASS', 'DIVISION', 'RANK', 'TIER'])","('INCLUDING', ['AND', 'ALSO', 'PLUS', 'WITH'])","('DOG BREEDS, INFORMALLY', ['BOSTON', 'GOLDEN', 'LAB', 'PIT'])","('FAMOUS POEMS', ['DADDY', 'HARLEM', 'HOWL', 'IF'])"
"('TREAT WITH EXCESSIVE CARE', ['BABY', 'MOTHER', 'PAMPER', 'SPOIL'])","('BACKSIDE', ['BOOTY', 'BUM', 'CAN', 'REAR'])","('THINGS IN A SPA LOCKER ROOM', ['ROBE', 'SLIPPERS', 'TOWEL', 'WASHCLOTH'])","('CAT\xe2\x80\x99S ___', ['CRADLE', 'EYE', 'MEOW', 'PAJAMAS'])"
"('THINGS A DOG CAN FETCH', ['BALL', 'BONE', 'FRISBEE', 'STICK'])","('CONCEAL', ['BLOCK', 'COVER', 'HIDE', 'OBSCURE'])","('MAC KEYBOARD KEYS', ['COMMAND', 'CONTROL', 'OPTION', 'SHIFT'])","('EXPERIENCE A MEMORY LAPSE', ['BLANK', 'FLAKE', 'FORGET', 'SPACE'])"
"('EAT VORACIOUSLY', ['DOWN', 'INHALE', 'SCARF', 'WOLF'])","('AREAS OF ACADEMIC FOCUS', ['CONCENTRATION', 'DEGREE', 'MAJOR', 'MINOR'])","('UNIVERSAL', ['BLANKET', 'BROAD', 'GENERAL', 'SWEEPING'])","('SPACE ___', ['BAR', 'CADET', 'HEATER', 'STATION'])"
"('THINGS TO SEW', ['DART', 'HEM', 'PLEAT', 'SEAM'])","('WAYS TO PRESERVE FOOD', ['CAN', 'CURE', 'DRY', 'FREEZE'])","('SHARP QUALITY', ['BITE', 'EDGE', 'PUNCH', 'SPICE'])","('BIRDS MINUS LAST LETTER', ['CONDO', 'HAW', 'HERO', 'LOO'])"
"('SHARED', ['COLLECTIVE', 'COMMON', 'JOINT', 'MUTUAL'])","('RID OF CONTENTS', ['CLEAR', 'DRAIN', 'EMPTY', 'FLUSH'])","('ASSOCIATED WITH \xe2\x80\x9cSTUB\xe2\x80\x9d', ['CIGARETTE', 'PENCIL', 'TICKET', 'TOE'])","('___ DREAM', ['AMERICAN', 'FEVER', 'LUCID', 'PIPE'])"
"('PARTS OF AN AIRPORT', ['HANGAR', 'RUNWAY', 'TARMAC', 'TERMINAL'])","('LEGAL TERMS', ['ACTION', 'CLAIM', 'COMPLAINT', 'LAWSUIT'])","('THINGS A JUGGLER JUGGLES', ['BEANBAG', 'CLUB', 'RING', 'TORCH'])","('WORDS ENDING IN CLOTHING', ['FOXGLOVE', 'GUMSHOE', 'TURNCOAT', 'WINDSOCK'])"
"('POP MEGASTARS', ['GRANDE', 'MARS', 'STYLES', 'SWIFT'])","('METHOD', ['CHANNEL', 'MEANS', 'MEDIUM', 'VEHICLE'])","('UNLIKELY, AS CHANCES', ['OUTSIDE', 'REMOTE', 'SLIM', 'SMALL'])","('LIVING ___', ['LARGE', 'LEGEND', 'PROOF', 'ROOM'])"
"('ROOMS IN THE GAME CLUE', ['HALL', 'LIBRARY', 'LOUNGE', 'STUDY'])","('COLLEAGUE', ['ASSOCIATE', 'FELLOW', 'PARTNER', 'PEER'])","('SEEN DURING EASTER', ['BUNNY', 'EGG', 'JELLY BEAN', 'PEEP'])","('WHAT A MOLE CAN BE', ['ANIMAL', 'BIRTHMARK', 'SPY', 'UNIT'])"
"('LARGE AMOUNT', ['MASS', 'SEA', 'SLEW', 'TON'])","('FALL IN UNDER PRESSURE', ['BUCKLE', 'CAVE', 'COLLAPSE', 'GIVE'])","('WAYS TO GET ATTENTION', ['SHOUT', 'SNAP', 'WAVE', 'WHISTLE'])","('BELLY ___', ['BUTTON', 'DANCE', 'FLOP', 'LAUGH'])"
"('INTELLIGENCE OPERATIVE', ['AGENT', 'ASSET', 'MOLE', 'SLEEPER'])","('UNITS IN POETRY', ['FOOT', 'LINE', 'METER', 'VERSE'])","('EXPRESS INDIRECTLY', ['COUCH', 'IMPLY', 'INTIMATE', 'SUGGEST'])","('WHAT \xe2\x80\x9cK\xe2\x80\x9d MIGHT MEAN', ['KELVIN', 'OKAY', 'POTASSIUM', 'THOUSAND'])"
"('GARLIC BREAD INGREDIENTS', ['BREAD', 'BUTTER', 'GARLIC', 'PARSLEY'])","('WAGER', ['BET', 'GAMBLE', 'RISK', 'STAKE'])","('DISNEYLAND LANDS', ['ADVENTURE', 'FANTASY', 'FRONTIER', 'TOMORROW'])","('___ BAT', ['BASEBALL', 'CRICKET', 'FRUIT', 'VAMPIRE'])"
"('PROPEL INTO THE AIR', ['HOP', 'JUMP', 'LEAP', 'SPRING'])","('PLACE TO STORE VALUABLES', ['CHEST', 'COFFER', 'SAFE', 'VAULT'])","('PERIOD', ['AGE', 'DAY', 'ERA', 'TIME'])","('ANIMALS BACKWARD', ['DRIB', 'FLOW', 'REED', 'TANG'])"
"('CHEESES, FAMILIARLY', ['AMERICAN', 'BLUE', 'JACK', 'SWISS'])","('TRACK AND FIELD EQUIPMENT', ['HAMMER', 'HURDLE', 'JAVELIN', 'POLE'])","('KINDS OF HEELS', ['CUBAN', 'KITTEN', 'STILETTO', 'WEDGE'])","('DOUBLE ___', ['DATE', 'DUTCH', 'JEOPARDY', 'SPACE'])"
"(""'80S FASHION TRENDS"", ['HEADBAND', 'MULLET', 'NEON', 'SPANDEX'])","('GYMNASTICS POSITIONS', ['PIKE', 'SPLIT', 'STRADDLE', 'TUCK'])","('KINDS OF CRACKERS', ['ANIMAL', 'GOLDFISH', 'OYSTER', 'RITZ'])","('___ LADDER', ['CORPORATE', 'ROPE', 'SALMON', 'WORD'])"
"('BASIC TASTES', ['BITTER', 'SALTY', 'SOUR', 'SWEET'])","('STAND UP TO, AS A CHALLENGE', ['BRAVE', 'CONFRONT', 'FACE', 'MEET'])","('ILK', ['KIND', 'SORT', 'TYPE', 'VARIETY'])","('ART MOVEMENTS, WITH -ISM', ['EXPRESSION', 'MANNER', 'ROMANTIC', 'SURREAL'])"
"('WALK HEAVILY', ['LUMBER', 'PLOD', 'STOMP', 'TRUDGE'])","('FLEXIBLE', ['ELASTIC', 'LIMBER', 'PLASTIC', 'SUPPLE'])","('FENCING EQUIPMENT', ['FOIL', 'GLOVE', 'JACKET', 'MASK'])","('WORDS BEGINNING WITH INSTRUMENTS', ['BASSINET', 'CELLOPHANE', 'HARPOON', 'ORGANISM'])"
"('MANUFACTURING LOCATIONS', ['FACTORY', 'MILL', 'PLANT', 'SHOP'])","('WIN + LETTER', ['WIND', 'WINE', 'WING', 'WINK'])","('PARTS OF FRUIT YOU MIGHT NOT EAT', ['CORE', 'RIND', 'SEED', 'STEM'])","('WEIGHTS IN BOXING', ['FEATHER', 'HEAVY', 'LIGHT', 'MIDDLE'])"
"('PROCESSION', ['CARAVAN', 'FLEET', 'PARADE', 'TRAIN'])","('SHADES OF GREEN', ['OLIVE', 'FOREST', 'LIME', 'MINT'])","('WHAT \xe2\x80\x9cBLUE\xe2\x80\x9d MIGHT MEAN', ['DEMOCRATIC', 'EROTIC', 'NOBLE', 'SAD'])","('THINGS WITH SPINES', ['BOOK', 'CACTUS', 'HEDGEHOG', 'SKELETON'])"
"('DOG SOUNDS', ['BARK', 'GROWL', 'HOWL', 'WHINE'])","('DEPARTMENT', ['ARM', 'BRANCH', 'CHAPTER', 'WING'])","('ORIGIN', ['CRADLE', 'FONT', 'ROOT', 'SOURCE'])","('COLORS WITH THEIR FIRST LETTERS CHANGED', ['CLUE', 'FROWN', 'MELLOW', 'PREEN'])"
"('PESTERS', ['BADGERS', 'BUGS', 'HOUNDS', 'NAGS'])","('TONY WINNERS FOR BEST MUSICAL', ['ANNIE', 'CABARET', 'CATS', 'COMPANY'])","('THEY HAVE KEYS', ['COMPUTER', 'PIANO', 'SUPER', 'TESTS'])","('SCHOOL OF ___', ['FISH', 'HARD KNOCKS', 'ROCK', 'THOUGHT'])"
"('PARTY POOPER', ['BORE', 'DRAG', 'DRIP', 'DUD'])","('MUSICAL SECTIONS', ['BRASS', 'RHYTHM', 'STRING', 'WIND'])","('BIT OF LIQUID', ['BEAD', 'DROP', 'GLOB', 'TEAR'])","('VEGETABLE HOMOPHONES', ['BEAT', 'CHARRED', 'LEAK', 'PEE'])"
"('USED IN BUILDING A FIRE', ['KINDLING', 'LOG', 'MATCH', 'TINDER'])","('MESS UP', ['BLOW', 'BUMBLE', 'FLUFF', 'SPOIL'])","('WORKSHOP TOOLS', ['DRILL', 'GRINDER', 'ROUTER', 'SAW'])","('PARTS OF A DOOR', ['FRAME', 'HANDLE', 'HINGE', 'LOCK'])"
"('EAT A LITTLE', ['GRAZE', 'NIBBLE', 'PECK', 'SNACK'])","('PURSUE', ['HUNT', 'TRACK', 'TRAIL', 'STALK'])","('INGREDIENTS IN MINESTRONE', ['BEANS', 'PASTA', 'STOCK', 'VEGETABLES'])","('___CAST', ['BROAD', 'FORE', 'POD', 'TYPE'])"
"('BIT OF HAIR', ['CURL', 'LOCK', 'RINGLET', 'TRESS'])","('MEDIA ATTENTION', ['COVERAGE', 'EXPOSURE', 'PRESS', 'PUBLICITY'])","('NOUN SUFFIXES', ['DOM', 'ION', 'NESS', 'SHIP'])","('___ CIRCUS', ['FAMILY', 'FLEA', 'FLYING', 'MEDIA'])"
"('COMFY SHOES', ['CROC', 'LOAFER', 'MOCCASIN', 'SLIPPER'])","('THINGS MADE WITH FEATHERS', ['BOA', 'HEADDRESS', 'PILLOW', 'SHUTTLECOCK'])","('PROGRAMMING LANGUAGES', ['BASIC', 'JAVA', 'PYTHON', 'RUBY'])","('THINGS THAT CAN STRIKE', ['COBRA', 'INSPIRATION', 'LIGHTNING', 'UNION'])"
"('FOLLOW ATTENTIVELY', ['MONITOR', 'SURVEY', 'TRACK', 'WATCH'])","('WHERE YOU MIGHT FIND SAND', ['BEACH', 'DESERT', 'HOURGLASS', 'PLAYGROUND'])","('OVEN BUTTONS', ['BAKE', 'BROIL', 'LIGHT', 'TIMER'])","('BRITPOP BANDS', ['BLUR', 'OASIS', 'PULP', 'SUEDE'])"
"('TOUCH LIGHTLY', ['BRUSH', 'GRAZE', 'KISS', 'SKIM'])","('KINDS OF NUMBERS', ['ODD', 'PERFECT', 'PRIME', 'WHOLE'])","('SAUCES IN CHINESE CUISINE', ['OYSTER', 'PLUM', 'SOY', 'XO'])","('BEAR ___', ['CLAW', 'FRUIT', 'HUG', 'WITNESS'])"
"('ENCOURAGE, WITH ""ON""', ['EGG', 'GOAD', 'SPUR', 'URGE'])","('SPHERICAL FOODS', ['JAWBREAKER', 'MEATBALL', 'MOZZARELLA', 'ORANGE'])","('GROCERY STORE AISLES', ['DAIRY', 'FROZEN', 'PRODUCE', 'SNACK'])","('GO ___', ['BANANAS', 'FIGURE', 'FISH', 'STEADY'])"
"('BAD THINGS FOR A VIDEO CALL TO DO', ['DROP', 'ECHO', 'FREEZE', 'LAG'])","('COSTUMES WITH STRIPED SHIRTS', ['MIME', 'PRISONER', 'REFEREE', 'SAILOR'])","('SEEN IN \xe2\x80\x9cALADDIN\xe2\x80\x9d', ['GENIE', 'MONKEY', 'PARROT', 'PRINCESS'])","('MOVIES MINUS NUMBERS', ['APOLLO', 'CANDLES', 'FANTASTIC', 'SAMURAI'])"
"('MONOTONOUS SOUNDS', ['BUZZ', 'DRONE', 'HUM', 'PURR'])","('BOATS', ['BARGE', 'DORY', 'SCOW', 'SLOOP'])","('CAPTAINS', ['AMERICA', 'HOOK', 'MORGAN', 'NEMO'])","('PREFIXES WITH -CRACY', ['AUTO', 'BUREAU', 'DEMO', 'PLUTO'])"
"('STOOL PIGEON', ['CANARY', 'FINK', 'RAT', 'SNITCH'])","('CRAM INTO A TIGHT SPACE', ['JAM', 'PACK', 'SQUEEZE', 'STUFF'])","('YOGA POSES', ['CAT', 'COW', 'MOUNTAIN', 'TRIANGLE'])","('___FLY', ['BUTTER', 'DRAGON', 'FIRE', 'HORSE'])"
"('MUSIC PLAYER BUTTONS', ['REWIND', 'SHUFFLE', 'SKIP', 'STOP'])","('BROADCAST', ['AIR', 'RUN', 'SCREEN', 'SHOW'])","('THINGS YOU CAN DRAW', ['BATH', 'CARD', 'CURTAIN', 'PICTURE'])","('NUMBER ANAGRAMS', ['EON', 'ETHER', 'NET', 'TOW'])"
"('ARCHERY EQUIPMENT', ['ARROW', 'BOW', 'QUIVER', 'TARGET'])","('CARD GAMES', ['BRIDGE', 'GIN', 'SPIT', 'WAR'])","('WALLOP', ['BELT', 'CLOCK', 'DECK', 'SLUG'])","('CLASSIC TATTOOS', ['ANCHOR', 'DRAGON', 'HEART', 'ROSE'])"
"('SEA CREATURES', ['CRAB', 'RAY', 'SPONGE', 'SQUID'])","('BASIC TWO-DIMENSIONAL SHAPES', ['CIRCLE', 'DIAMOND', 'SQUARE', 'TRIANGLE'])","('BOXING MANEUVERS', ['BOB', 'CROSS', 'HOOK', 'WEAVE'])","('FANCY ___', ['FEAST', 'FREE', 'PANTS', 'THAT'])"
"('OSTENTATIOUS, AS AN OUTFIT', ['BRIGHT', 'FLASHY', 'GARISH', 'LOUD'])","('EUPHEMISMS FOR FLATULENCE', ['GAS', 'STINKER', 'TOOT', 'WIND'])","('KINDS OF BLOND', ['DIRTY', 'HONEY', 'PLATINUM', 'STRAWBERRY'])","('WHAT \xe2\x80\x9cO\xe2\x80\x9d MIGHT MEAN', ['HUG', 'OF', 'OXYGEN', 'ZERO'])"
"('""GIVE ME A BREAK!""', ['BROTHER', 'LORD', 'PLEASE', 'SHEESH'])","('ECCLESIASTICAL TITLES', ['BISHOP', 'CARDINAL', 'PASTOR', 'PRIOR'])","('ROCK & ROLL HALL OF FAME INDUCTEES', ['HEART', 'MADONNA', 'PRINCE', 'QUEEN'])","('CITY HOMOPHONES', ['DELI', 'NIECE', 'ROAM', 'SOUL'])"
"('DRINKS WITH CAFFEINE', ['COCOA', 'COFFEE', 'MATE', 'TEA'])","('UNEXCITING', ['BORING', 'DULL', 'MUNDANE', 'VANILLA'])","('COMEDIAN\xe2\x80\x99S PERFORMANCE', ['ACT', 'BIT', 'ROUTINE', 'SET'])","('MARTINI SPECIFICATIONS', ['DIRTY', 'DRY', 'TWIST', 'UP'])"
"('COMMERCIAL ORGANIZATION', ['AGENCY', 'COMPANY', 'ENTERPRISE', 'FIRM'])","('FARM FIXTURES', ['COOP', 'PEN', 'STABLE', 'STY'])","('CLASSIC DOG NAMES', ['FLUFFY', 'REX', 'ROVER', 'SPOT'])","('COLORS MINUS THEIR FIRST LETTERS', ['INK', 'LACK', 'OLD', 'RANGE'])"
"('TIME OFF', ['BREAK', 'HOLIDAY', 'LEAVE', 'RECESS'])","('FEATURES OF A BELT', ['BUCKLE', 'HOLE', 'LOOP', 'STRAP'])","('HOMOPHONES', ['HOLEY', 'HOLI', 'HOLY', 'WHOLLY'])","('___WOOD', ['DOG', 'DRIFT', 'HOLLY', 'SANDAL'])"
"('MAKE SHORTER', ['CLIP', 'CUT', 'PARE', 'TRIM'])","('MUSCULAR', ['BUILT', 'JACKED', 'RIPPED', 'SWOLE'])","('ENTHUSIAST', ['BUFF', 'FAN', 'LOVER', 'NUT'])","('WRINKLY THINGS', ['BRAIN', 'PRUNE', 'PUG', 'WALNUT'])"
"('MERRIMENT', ['CHEER', 'GLEE', 'FESTIVITY', 'MIRTH'])","('BOOKED FOR A WEDDING', ['BAND', 'CATERER', 'FLORIST', 'OFFICIANT'])","('RHYMES', ['CHOIR', 'FIRE', 'LIAR', 'FRYER'])","('___ PIT', ['BARBECUE', 'ORCHESTRA', 'SNAKE', 'TAR'])"
"('HIT HARD', ['BANG', 'HAMMER', 'POUND', 'SLAM'])","('NEWSPAPER NAMES', ['CHRONICLE', 'HERALD', 'REGISTER', 'SUN'])","('CRESCENT-SHAPED THINGS', ['BANANA', 'CROISSANT', 'MOON', 'SICKLE'])","('POWER-UPS IN SUPER MARIO WORLD', ['FEATHER', 'FLOWER', 'MUSHROOM', 'STAR'])"
"('DO SOME MARKETING', ['PITCH', 'PLUG', 'PROMOTE', 'PUSH'])","('ROMANTIC TWOSOME', ['COUPLE', 'ITEM', 'PAIR', 'THING'])","('TENNIS SCORES', ['AD', 'ALL', 'DEUCE', 'LOVE'])","('WORDS WITH \xe2\x80\x9cFRUIT\xe2\x80\x9d', ['BREAD', 'DRAGON', 'JACK', 'PASSION'])"
"('HIGHEST POINT', ['CREST', 'PEAK', 'SUMMIT', 'VERTEX'])","('\x80\x9cCAN I GET YOUR ___?\xe2\x80\x9d (PHONE INFO REQUEST)', ['CELL', 'CONTACT', 'DIGITS', 'NUMBER'])","('MODIFIERS MEANING \xe2\x80\x9cSMALL\xe2\x80\x9d', ['BABY', 'MINI', 'POCKET', 'TOY'])","('INSIDE A SCRABBLE BOX', ['BAG', 'BOARD', 'RACKS', 'TILES'])"
"('HURT', ['ACHE', 'BURN', 'SMART', 'STING'])","('LOOK AFTER', ['GUARD', 'MIND', 'TEND', 'WATCH'])","('SOUGHT AFTER IN \xe2\x80\x9cTHE WIZARD OF OZ\xe2\x80\x9d', ['BRAIN', 'COURAGE', 'HEART', 'HOME'])","('SILENT \xe2\x80\x9cW\xe2\x80\x9d', ['ANSWER', 'TWO', 'WRIST', 'WRONG'])"
"('BASEBALL EQUIPMENT', ['BALL', 'BASE', 'BAT', 'GLOVE'])","('HARD HIT', ['BLOW', 'LICK', 'SOCK', 'STRIKE'])","('ORIGINAL MONOPOLY TOKENS', ['BOOT', 'IRON', 'THIMBLE', 'TOP HAT'])","('___ BUNNY', ['BAD', 'BUGS', 'DUST', 'HONEY'])"
"('OF-THE-MOMENT', ['BIG', 'HOT', 'IN', 'POPULAR'])","('PICTOGRAPH', ['CHARACTER', 'GLYPH', 'ICON', 'SYMBOL'])","('IMPOSE, AS A PENALTY', ['ASSESS', 'CHARGE', 'FINE', 'LEVY'])","('WORDS BEGINNING WITH BODY PARTS', ['HANDSOME', 'HIPPO', 'LEGEND', 'LIPID'])"
"('SMARTPHONE FEATURES BEGINNING WITH \xe2\x80\x9cC\xe2\x80\x9d', ['CALCULATOR', 'CALENDAR', 'CAMERA', 'CLOCK'])","('PARTS OF THE EYE', ['CONE', 'IRIS', 'LENS', 'PUPIL'])","('FAMILIAL NICKNAMES', ['DADA', 'GRAMMY', 'MUM', 'POPPY'])","('WORDS PRONOUNCED DIFFERENTLY WITH ACCENT MARKS', ['EXPOSE', 'PATE', 'RESUME', 'ROSE'])"
"('BRING INTO BEING', ['COIN', 'CREATE', 'DEVISE', 'INVENT'])","('EXCELLENT', ['FINE', 'PRIME', 'QUALITY', 'STERLING'])","('SYMBOLS ABOVE NUMBERS ON A KEYBOARD', ['AT', 'DOLLAR', 'PERCENT', 'POUND'])","('PASS THE ___', ['BAR', 'BUCK', 'TIME', 'TORCH'])"
"('SYMBOLIC RODS', ['BATON', 'SCEPTER', 'STAFF', 'WAND'])","('DENTAL TERMS', ['CAVITY', 'CROWN', 'FILLING', 'PLAQUE'])","('RUBBER STAMP WORDS', ['APPROVED', 'PAID', 'URGENT', 'VOID'])","('___ YEAR', ['GAP', 'LEAP', 'LIGHT', 'SCHOOL'])"
"('RIP OFF', ['FLEECE', 'HOSE', 'ROB', 'STIFF'])","('THINGS MADE OF WAX', ['CANDLE', 'CRAYON', 'HONEYCOMB', 'SEAL'])","('PARTS OF AN AIRPLANE', ['CABIN', 'ENGINE', 'NOSE', 'WING'])","('UNITS OF VEGETABLES', ['BULB', 'EAR', 'HEAD', 'STALK'])"
"('DECLINE', ['DIP', 'DROP', 'FALL', 'SINK'])","('MOVE WITH SPEED', ['BLAZE', 'FLY', 'RACE', 'TEAR'])","('KINDS OF DANCE', ['MODERN', 'SALSA', 'SWING', 'TAP'])","('BABY ___', ['BOOM', 'CARROT', 'SHOWER', 'TALK'])"
